Date,Type,Link
2022-12-01 05:39:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003699358143516672
2022-11-30 06:23:59,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003575842807136256
2022-11-29 19:31:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7003279300275683328
2022-11-29 01:14:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7002857249647783936
2022-11-27 05:09:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001796605192364032
2022-11-26 06:05:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998142492084748288
2022-11-25 05:33:44,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001751518601220096
2022-11-24 11:19:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7001426943812218880
2022-11-21 16:54:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997971151326982144
2022-11-21 16:54:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6997132086662893568
2022-11-21 16:45:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000152606199201792
2022-11-21 16:29:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7000368277566750720
2022-11-20 16:33:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6999422249292238848
2022-11-20 13:17:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6994247475943391232
2022-11-20 13:17:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6989775867174391808
2022-11-20 13:13:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6999444916661600256
2022-11-20 02:46:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998659413095923712
2022-11-17 09:51:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998610954112380929
2022-11-17 09:51:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998512987036639233
2022-11-15 18:53:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998140217010393088
2022-11-15 18:52:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998312492141588480
2022-11-15 18:51:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998350665580236800
2022-11-15 14:33:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6998204641524031489
2022-11-15 14:33:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6998125345086328833
2022-11-15 05:22:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997970445383680001
2022-11-14 14:07:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997659502040756224
2022-11-14 14:07:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997766930828791808
2022-11-14 14:06:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6997890066941374465
